0.000000000000000000e+00,0.000000000000000000e+00
2.083333333333333218e-02,1.710534018468640716e+04
4.166666666666666435e-02,1.605837807703854196e+04
6.250000000000000000e-02,1.571858099740495163e+04
8.333333333333332871e-02,1.526145661461187046e+04
1.041666666666666574e-01,1.463422552898576760e+04
1.250000000000000000e-01,1.501454155823021210e+04
1.458333333333333148e-01,1.478893029521120116e+04
1.666666666666666574e-01,1.397019219765356684e+04
1.875000000000000000e-01,1.500389779187044041e+04
2.083333333333333148e-01,1.485031803955486976e+04
2.291666666666666574e-01,1.360997832030614154e+04
2.500000000000000000e-01,1.455765677805037922e+04
2.708333333333333148e-01,1.529250208089781154e+04
2.916666666666666297e-01,1.379088448261767917e+04
3.125000000000000000e-01,1.394376061554051921e+04
3.333333333333333148e-01,1.528576938742564016e+04
3.541666666666666297e-01,1.520521253290368622e+04
3.750000000000000000e-01,1.356551383827767131e+04
3.958333333333333148e-01,1.355307573410460100e+04
4.166666666666666297e-01,1.526763782129914034e+04
4.375000000000000000e-01,1.529128128937432484e+04
4.583333333333333148e-01,1.358087800664686074e+04
4.791666666666666297e-01,1.354518494512280085e+04
5.000000000000000000e-01,1.525634554041051160e+04
5.208333333333332593e-01,1.530908694453180578e+04
5.416666666666666297e-01,1.360016900056913801e+04
5.625000000000000000e-01,1.367140699286967356e+04
5.833333333333332593e-01,1.525525601631523386e+04
6.041666666666666297e-01,1.533735769586458264e+04
6.250000000000000000e-01,1.360968003451311233e+04
6.458333333333332593e-01,1.351654754354744364e+04
6.666666666666666297e-01,1.524990855052767438e+04
6.875000000000000000e-01,1.535865371802369555e+04
7.083333333333332593e-01,1.362143728382956760e+04
7.291666666666666297e-01,1.375223099354740771e+04
7.500000000000000000e-01,1.525530720475072303e+04
7.708333333333332593e-01,1.539236926410935484e+04
7.916666666666666297e-01,1.363719420512086435e+04
8.125000000000000000e-01,1.345875595235509536e+04
8.333333333333332593e-01,1.524249674594525641e+04
8.541666666666666297e-01,1.509411016746739551e+04
8.750000000000000000e-01,1.363998594290864276e+04
8.958333333333332593e-01,1.344084918520922292e+04
9.166666666666666297e-01,1.524805653155737309e+04
9.375000000000000000e-01,1.544059913762176802e+04
9.583333333333332593e-01,1.361808230158566221e+04
9.791666666666666297e-01,1.342353703305590534e+04
1.000000000000000000e+00,1.526611245223060905e+04
1.020833333333333259e+00,1.531439965935530199e+04
1.041666666666666519e+00,1.360072002673242241e+04
1.062500000000000000e+00,1.342644459489948349e+04
1.083333333333333259e+00,1.528769294704553613e+04
1.104166666666666519e+00,1.536436302373644503e+04
1.125000000000000000e+00,1.358251666372767431e+04
1.145833333333333259e+00,1.343815115555883676e+04
1.166666666666666519e+00,1.530372094022943929e+04
1.187500000000000000e+00,1.538585071937735120e+04
1.208333333333333259e+00,1.357374288191253072e+04
1.229166666666666519e+00,1.345248870741514838e+04
1.250000000000000000e+00,1.530692550248453699e+04
1.270833333333333259e+00,1.541826097725337968e+04
1.291666666666666519e+00,1.357852260579882204e+04
1.312500000000000000e+00,1.346153346205282287e+04
1.333333333333333259e+00,1.529442236753099132e+04
1.354166666666666519e+00,1.540997196534868635e+04
1.375000000000000000e+00,1.359476571586742648e+04
1.395833333333333259e+00,1.347158072391747555e+04
1.416666666666666519e+00,1.529183487315925231e+04
1.437500000000000000e+00,1.540931043461899753e+04
1.458333333333333259e+00,1.358496343150742541e+04
1.479166666666666519e+00,1.347427095069121788e+04
1.500000000000000000e+00,1.531472132691116349e+04
1.520833333333333259e+00,1.539585131395716962e+04
1.541666666666666519e+00,1.354616591667998728e+04
1.562500000000000000e+00,1.352513846638858377e+04
1.583333333333333259e+00,1.535532283549687781e+04
1.604166666666666519e+00,1.537739446675330328e+04
1.625000000000000000e+00,1.351924026269618844e+04
1.645833333333333259e+00,1.395873785597853930e+04
1.666666666666666519e+00,1.538316866984022272e+04
1.687500000000000000e+00,1.525659230733669028e+04
1.708333333333333259e+00,1.352851718143856124e+04
1.729166666666666519e+00,1.353005627998655473e+04
1.750000000000000000e+00,1.534107363865149455e+04
1.770833333333333259e+00,1.518751932829445650e+04
1.791666666666666519e+00,1.357970415740817771e+04
1.812500000000000000e+00,1.352679033697905470e+04
1.833333333333333259e+00,1.528305378177998136e+04
1.854166666666666519e+00,1.533293913582691675e+04
1.875000000000000000e+00,1.362821297879078702e+04
1.895833333333333259e+00,1.351034991661139429e+04
1.916666666666666519e+00,1.525145466482334450e+04
1.937500000000000000e+00,1.489089919273400665e+04
1.958333333333333259e+00,1.364743289407848351e+04
1.979166666666666519e+00,1.373399550631649618e+04
2.000000000000000000e+00,1.527885973392835513e+04
2.020833333333333037e+00,1.539749893817489283e+04
2.041666666666666519e+00,1.359296556690462967e+04
2.062500000000000000e+00,1.349242654322922317e+04
2.083333333333333037e+00,1.531902839956654134e+04
2.104166666666666519e+00,1.538068815812378671e+04
2.125000000000000000e+00,1.354765260621193738e+04
2.145833333333333037e+00,1.351583945098511686e+04
2.166666666666666519e+00,1.535531631718183780e+04
2.187500000000000000e+00,1.534903140566031652e+04
2.208333333333333037e+00,1.351845401393609791e+04
2.229166666666666519e+00,1.354497389313504027e+04
2.250000000000000000e+00,1.537073660143302914e+04
2.270833333333333037e+00,1.532143344111220358e+04
2.291666666666666519e+00,1.351857130386760400e+04
2.312500000000000000e+00,1.374841315937013860e+04
2.333333333333333037e+00,1.536485206422282135e+04
2.354166666666666519e+00,1.530908708297325211e+04
2.375000000000000000e+00,1.354353473953384309e+04
2.395833333333333037e+00,1.357458591288515890e+04
2.416666666666666519e+00,1.531950048268265891e+04
2.437500000000000000e+00,1.531351260606047072e+04
2.458333333333333037e+00,1.359604428563905822e+04
2.479166666666666519e+00,1.355774753349624370e+04
2.500000000000000000e+00,1.526266249338302077e+04
2.520833333333333037e+00,1.534325774738311884e+04
2.541666666666666519e+00,1.365599496138641553e+04
2.562500000000000000e+00,1.351692985677947581e+04
2.583333333333333037e+00,1.520187631913520090e+04
2.604166666666666519e+00,1.538489518458686143e+04
2.625000000000000000e+00,1.370099284475546301e+04
2.645833333333333037e+00,1.346694670333446629e+04
2.666666666666666519e+00,1.518913945005928326e+04
2.687500000000000000e+00,1.544621290161807701e+04
2.708333333333333037e+00,1.369393112749699867e+04
2.729166666666666519e+00,1.342379888366580053e+04
2.750000000000000000e+00,1.521177990893907190e+04
2.770833333333333037e+00,1.508302129698057615e+04
2.791666666666666519e+00,1.366350605402789006e+04
2.812500000000000000e+00,1.342415781804210928e+04
2.833333333333333037e+00,1.526903873658078010e+04
2.854166666666666519e+00,1.545933093135507806e+04
2.875000000000000000e+00,1.358196450816850484e+04
2.895833333333333037e+00,1.364869578741018631e+04
2.916666666666666519e+00,1.535933961949881268e+04
2.937500000000000000e+00,1.541867353479436133e+04
2.958333333333333037e+00,1.348715813918264757e+04
2.979166666666666519e+00,1.349576531851586333e+04
3.000000000000000000e+00,1.543994508829516417e+04
3.020833333333333037e+00,1.534526492943166886e+04
3.041666666666666519e+00,1.341103491244208999e+04
3.062500000000000000e+00,1.357543265103398517e+04
3.083333333333333037e+00,1.549639921097768456e+04
3.104166666666666519e+00,1.526150458042637911e+04
3.125000000000000000e+00,1.338578429890609914e+04
3.145833333333333037e+00,1.366325921538394323e+04
3.166666666666666519e+00,1.549086803393063019e+04
3.187500000000000000e+00,1.518324740913888672e+04
3.208333333333333037e+00,1.342027959986490168e+04
3.229166666666666519e+00,1.372285104379436962e+04
3.250000000000000000e+00,1.543048543418982808e+04
3.270833333333333037e+00,1.514320978926623502e+04
3.291666666666666519e+00,1.349691746042701561e+04
3.312500000000000000e+00,1.383262775181132019e+04
3.333333333333333037e+00,1.534795231526979478e+04
3.354166666666666519e+00,1.514957872434230376e+04
3.375000000000000000e+00,1.358617579802153341e+04
3.395833333333333037e+00,1.371665060420821465e+04
3.416666666666666519e+00,1.525608174203035742e+04
3.437500000000000000e+00,1.519013344670167498e+04
3.458333333333333037e+00,1.367172198879467760e+04
3.479166666666666519e+00,1.366084556306618833e+04
3.500000000000000000e+00,1.517988477079138102e+04
3.520833333333333037e+00,1.525290308550122427e+04
3.541666666666666519e+00,1.373167976983377594e+04
3.562500000000000000e+00,1.359276822791052473e+04
3.583333333333333037e+00,1.514424392092474227e+04
3.604166666666666519e+00,1.532707533728978888e+04
3.625000000000000000e+00,1.374332059981564089e+04
3.645833333333333037e+00,1.352350125717672199e+04
3.666666666666666519e+00,1.515654497473084120e+04
3.687500000000000000e+00,1.538393562949620900e+04
3.708333333333333037e+00,1.370959799101566387e+04
3.729166666666666519e+00,1.348047032013166972e+04
3.750000000000000000e+00,1.520487805888663570e+04
3.770833333333333037e+00,1.534589364417614343e+04
3.791666666666666519e+00,1.365254898699363184e+04
3.812500000000000000e+00,1.347634649216389516e+04
3.833333333333333037e+00,1.527473213169725204e+04
3.854166666666666519e+00,1.522249209137784419e+04
3.875000000000000000e+00,1.358440639757494500e+04
3.895833333333333037e+00,1.350913454149938480e+04
3.916666666666666519e+00,1.535010006213899396e+04
3.937500000000000000e+00,1.535150738817655292e+04
3.958333333333333037e+00,1.350036507508300565e+04
3.979166666666666519e+00,1.356721073419650202e+04
4.000000000000000000e+00,1.542746491686776426e+04
4.020833333333333037e+00,1.527832722196858231e+04
4.041666666666666075e+00,1.342835652465818930e+04
4.062500000000000000e+00,1.364436807420242985e+04
4.083333333333333037e+00,1.548440840728489275e+04
4.104166666666666075e+00,1.519370221820052029e+04
4.125000000000000000e+00,1.338766096625753562e+04
4.145833333333333037e+00,1.417075730287218903e+04
